date,hs300_benchmark,baseline_raw,slope_080
2012-05-28,1.0,1.0,1.0
2012-05-29,1.0153609831029187,1.0,1.0
2012-05-30,1.012288786482335,1.0,1.0
2012-05-31,1.009984639016897,1.0,1.0
2012-06-01,1.009984639016897,1.0,1.0
2012-06-04,0.9823348694316433,1.0,1.0
2012-06-05,0.9834869431643621,1.0,1.0
2012-06-06,0.9827188940092163,1.0,1.0
2012-06-07,0.9765745007680489,1.0,1.0
2012-06-08,0.973118279569892,1.0,1.0
2012-06-11,0.9846390168970811,1.0,1.0
2012-06-12,0.9784946236559137,1.0,1.0
2012-06-13,0.9927035330261134,1.0,1.0
2012-06-14,0.9884792626728107,1.0,1.0
2012-06-15,0.9923195084485404,1.0,1.0
2012-06-18,0.9953917050691242,1.0,1.0
2012-06-19,0.9880952380952378,1.0,1.0
2012-06-20,0.9869431643625188,1.0,1.0
2012-06-21,0.9715821812596002,1.0,1.0
2012-06-25,0.952380952380952,1.0,1.0
2012-06-26,0.952380952380952,1.0,1.0
2012-06-27,0.9489247311827954,1.0,1.0
2012-06-28,0.9435483870967738,1.0,1.0
2012-06-29,0.9543010752688166,1.0,1.0
2012-07-02,0.9543010752688166,1.0,1.0
2012-07-03,0.9558371735791084,1.0,1.0
2012-07-04,0.9558371735791084,1.0,1.0
2012-07-05,0.9450844854070652,1.0,1.0
2012-07-06,0.9604454685099839,1.0,1.0
2012-07-09,0.9412442396313357,1.0,1.0
2012-07-10,0.937403993855606,1.0,1.0
2012-07-11,0.9416282642089089,1.0,1.0
2012-07-12,0.9500768049155144,1.0,1.0
2012-07-13,0.9516129032258063,1.0,1.0
2012-07-16,0.9362519201228873,1.0,1.0
2012-07-17,0.938172043010752,1.0,1.0
2012-07-18,0.938172043010752,1.0,1.0
2012-07-19,0.9412442396313355,1.0,1.0
2012-07-20,0.934331797235022,1.0,1.0
2012-07-23,0.9228110599078332,1.0,1.0
2012-07-24,0.9247311827956979,1.0,1.0
2012-07-25,0.9189708141321034,1.0,1.0
2012-07-26,0.9147465437788008,1.0,1.0
2012-07-27,0.9158986175115197,1.0,1.0
2012-07-30,0.9128264208909359,1.0,1.0
2012-07-31,0.9105222734254982,1.0,1.0
2012-08-01,0.9174347158218115,1.0,1.0
2012-08-02,0.9105222734254982,1.0,1.0
2012-08-03,0.9158986175115196,1.0,1.0
2012-08-06,0.9278033794162818,1.0,1.0
2012-08-07,0.9289554531490006,1.0,1.0
2012-08-08,0.9297235023041465,1.0,1.0
2012-08-09,0.9389400921658977,1.0,1.0
2012-08-10,0.936251920122887,1.0,1.0
2012-08-13,0.9185867895545305,1.0,1.0
2012-08-14,0.9170506912442387,1.0,1.0
2012-08-15,0.9086021505376335,1.0,1.0
2012-08-16,0.9059139784946227,1.0,1.0
2012-08-17,0.9020737327188931,1.0,1.0
2012-08-20,0.8970814132104444,1.0,1.0
2012-08-21,0.9005376344086012,1.0,1.0
2012-08-22,0.8940092165898608,1.0,1.0
2012-08-23,0.8982334869431634,1.0,1.0
2012-08-24,0.8894009216589852,1.0,1.0
2012-08-27,0.8709677419354829,1.0,1.0
2012-08-28,0.8709677419354829,1.0,1.0
2012-08-29,0.8652073732718885,1.0,1.0
2012-08-30,0.8613671274961587,1.0,1.0
2012-08-31,0.8613671274961587,1.0,1.0
2012-09-03,0.8667434715821803,1.0,1.0
2012-09-04,0.857526881720429,1.0,1.0
2012-09-05,0.8571428571428563,1.0,1.0
2012-09-06,0.8655913978494612,1.0,1.0
2012-09-07,0.9051459293394766,1.0,1.0
2012-09-10,0.9082181259600604,1.0,1.0
2012-09-11,0.9013056835637469,1.0,1.0
2012-09-12,0.9059139784946224,1.0,1.0
2012-09-13,0.8970814132104441,1.0,1.0
2012-09-14,0.9032258064516115,1.0,1.0
2012-09-17,0.8821044546850986,1.0,1.0
2012-09-18,0.8713517665130556,1.0,1.0
2012-09-19,0.8748079877112122,1.0,1.0
2012-09-20,0.8559907834101369,1.0,1.0
2012-09-21,0.855606758832564,1.0,1.0
2012-09-24,0.8632872503840232,1.0,1.0
2012-09-25,0.8621351766513042,1.0,1.0
2012-09-26,0.8529185867895531,1.0,1.0
2012-09-27,0.8774961597542228,1.0,1.0
2012-09-28,0.8978494623655899,1.0,1.0
2012-10-08,0.8844086021505362,1.0,1.0
2012-10-09,0.9047619047619032,1.0,1.0
2012-10-10,0.9047619047619032,1.0,1.0
2012-10-11,0.8986175115207359,1.0,1.0
2012-10-12,0.89784946236559,1.0,1.0
2012-10-15,0.8947772657450062,1.0,1.0
2012-10-16,0.8951612903225793,1.0,1.0
2012-10-17,0.898617511520736,1.0,1.0
2012-10-18,0.9097542242703521,0.9995,1.0
2012-10-19,0.9097542242703521,0.99900025,0.9995
2012-10-22,0.9132104454685087,0.99900025,0.9990002500000001
2012-10-23,0.9028417818740386,0.99900025,0.9990002500000001
2012-10-24,0.9013056835637467,0.99900025,0.9990002500000001
2012-10-25,0.8940092165898603,0.99900025,0.9990002500000001
2012-10-26,0.874039938556066,0.99900025,0.9990002500000001
2012-10-29,0.8698156682027637,0.99900025,0.9990002500000001
2012-10-30,0.8717357910906285,0.99900025,0.9990002500000001
2012-10-31,0.877880184331796,0.99900025,0.9990002500000001
2012-11-01,0.8963133640552984,0.99900025,0.9990002500000001
2012-11-02,0.8982334869431632,0.99900025,0.9990002500000001
2012-11-05,0.8959293394777255,0.99900025,0.9990002500000001
2012-11-06,0.8924731182795687,0.99900025,0.9990002500000001
2012-11-07,0.8917050691244228,0.99900025,0.9990002500000001
2012-11-08,0.8755760368663582,0.99900025,0.9990002500000001
2012-11-09,0.8732718894009205,0.99900025,0.9990002500000001
2012-11-12,0.8763440860215043,0.99900025,0.9990002500000001
2012-11-13,0.8629032258064506,0.99900025,0.9990002500000001
2012-11-14,0.8652073732718882,0.99900025,0.9990002500000001
2012-11-15,0.8548387096774182,0.99900025,0.9990002500000001
2012-11-16,0.8467741935483859,0.99900025,0.9990002500000001
2012-11-19,0.8467741935483859,0.99900025,0.9990002500000001
2012-11-20,0.8444700460829482,0.99900025,0.9990002500000001
2012-11-21,0.8548387096774182,0.99900025,0.9990002500000001
2012-11-22,0.8498463901689699,0.99900025,0.9990002500000001
2012-11-23,0.8544546850998456,0.99900025,0.9990002500000001
2012-11-26,0.8490783410138241,0.99900025,0.9990002500000001
2012-11-27,0.8398617511520728,0.99900025,0.9990002500000001
2012-11-28,0.8306451612903217,0.99900025,0.9990002500000001
2012-11-29,0.827572964669738,0.99900025,0.9990002500000001
2012-11-30,0.8314132104454677,0.99900025,0.9990002500000001
2012-12-03,0.8237327188940085,0.99900025,0.9990002500000001
2012-12-04,0.8302611367127488,0.99900025,0.9990002500000001
2012-12-05,0.8594470046082944,0.99900025,0.9990002500000001
2012-12-06,0.8582949308755755,0.99900025,0.9990002500000001
2012-12-07,0.8755760368663588,0.99900025,0.9990002500000001
2012-12-10,0.8836405529953911,0.99900025,0.9990002500000001
2012-12-11,0.8809523809523804,0.99900025,0.9990002500000001
2012-12-12,0.8828725038402454,0.99900025,0.9990002500000001
2012-12-13,0.8759600614439321,0.99900025,0.9990002500000001
2012-12-14,0.9201228878648231,0.998500749875,0.9990002500000001
2012-12-17,0.922811059907834,1.0014179056551025,1.0014179056551025
2012-12-18,0.9086021505376343,0.985998653674562,0.985998653674562
2012-12-19,0.9109062980030718,0.9884990729146492,0.9884990729146492
2012-12-20,0.9170506912442393,0.9951668575548832,0.9951668575548831
2012-12-21,0.9132104454685098,0.9909994921547371,0.9909994921547371
2012-12-24,0.9139784946236558,0.9918329652347664,0.9918329652347664
2012-12-25,0.9393241167434717,1.019337576875731,1.019337576875731
2012-12-26,0.9420122887864824,1.0222547326558329,1.022254732655833
2012-12-27,0.9400921658986177,1.02017104995576,1.0201710499557601
2012-12-28,0.9539170506912443,1.0351735653962857,1.035173565396286
2012-12-31,0.969278033794163,1.0518430269968702,1.0518430269968704
2013-01-04,0.9715821812596007,1.0543434462369576,1.0543434462369579
2013-01-07,0.9731182795698926,1.056010392397016,1.0560103923970163
2013-01-08,0.9688940092165901,1.0514262904568557,1.0514262904568559
2013-01-09,0.9681259600614442,1.0505928173768264,1.0505928173768266
2013-01-10,0.9704301075268821,1.053093236616914,1.0530932366169143
2013-01-11,0.9558371735791096,1.037257248096359,1.0372572480963593
2013-01-14,0.9896313364055304,1.0739300636176443,1.0739300636176448
2013-01-15,0.9953917050691249,1.0801811117178637,1.080181111717864
2013-01-16,0.9880952380952385,1.0722631174575858,1.0722631174575863
2013-01-17,0.981950844854071,1.0655953328173522,1.0655953328173526
2013-01-18,0.996543778801844,1.0814313213379072,1.081431321337908
2013-01-21,1.0000000000000004,1.0851819501980386,1.0851819501980393
2013-01-22,0.9984639016897086,1.0835150040379802,1.0835150040379808
2013-01-23,1.0003840245775735,1.0855986867380532,1.0855986867380538
2013-01-24,0.9938556067588331,1.0785141655578048,1.0785141655578054
2013-01-25,0.9892473118279576,1.0735133270776294,1.07351332707763
2013-01-28,1.0161290322580652,1.102684884878652,1.1026848848786526
2013-01-29,1.0238095238095244,1.111019615678944,1.1110196156789447
2013-01-30,1.029569892473119,1.1172706637791632,1.1172706637791638
2013-01-31,1.03225806451613,1.1201878195592656,1.1201878195592663
2013-02-01,1.052227342549924,1.1418581196400253,1.141858119640026
2013-02-04,1.0541474654377887,1.1439418023400982,1.143941802340099
2013-02-05,1.061827956989248,1.1522765331403904,1.152276533140391
2013-02-06,1.0649001536098317,1.1556104254605073,1.155610425460508
2013-02-07,1.059907834101383,1.1501928504403174,1.150192850440318
2013-02-08,1.0633640552995398,1.1539434793004488,1.1539434793004495
2013-02-18,1.0476190476190483,1.13685728115985,1.1368572811598505
2013-02-19,1.030721966205838,1.1185208733992076,1.1185208733992078
2013-02-20,1.0353302611367137,1.123521711879383,1.1235217118793832
2013-02-21,0.998463901689709,1.0831195210615068,1.0835150040379808
2013-02-22,0.9953917050691252,1.082219698690163,1.0822196986901638
2013-02-25,0.996927803379417,1.0826706235646175,1.082670623564618
2013-02-26,0.9823348694316442,1.0782460728183052,1.078391655691824
2013-02-27,0.9915514592933954,1.0781005095984748,1.0782460728183056
2013-02-28,1.0249615975422437,1.0879086354584548,1.0879086354584553
2013-03-01,1.0238095238095248,1.08757847210337,1.0875784721033706
2013-03-04,0.9754224270353312,1.0737002201825312,1.0737002201825316
2013-03-05,1.0034562211981577,1.0820319648044987,1.0820319648044991
2013-03-06,1.0142089093702007,1.0851625280092143,1.0851625280092148
2013-03-07,1.0019201228878658,1.0816124317418916,1.081612431741892
2013-03-08,1.000384024577574,1.0811646964309367,1.0811646964309372
2013-03-11,0.9934715821812606,1.0791476290894186,1.079147629089419
2013-03-12,0.9792626728110608,1.0749803755855132,1.0749803755855136
2013-03-13,0.9685099846390176,1.0716486828369836,1.0717933749426012
2013-03-14,0.9704301075268826,1.0716486828369836,1.071648682836984
2013-03-15,0.9711981566820285,1.0716486828369836,1.071648682836984
2013-03-18,0.9608294930875583,1.0716486828369836,1.071648682836984
2013-03-19,0.9692780337941638,1.0716486828369836,1.071648682836984
2013-03-20,0.9988479262672821,1.0715040102648006,1.071648682836984
2013-03-21,1.001536098310293,1.0722826117947508,1.0722826117947513
2013-03-22,1.0042242703533037,1.0730596877672554,1.0730596877672558
2013-03-25,1.0026881720430119,1.0726165120644682,1.0726165120644686
2013-03-26,0.9861751152073743,1.0678470453064948,1.0678470453064952
2013-03-27,0.988479262672812,1.0685206871341413,1.0685206871341417
2013-03-28,0.957757296466975,1.0595540799693792,1.0595540799693797
2013-03-29,0.9550691244239641,1.0586081986024571,1.0587511300050083
2013-04-01,0.9535330261136722,1.0586081986024571,1.0586081986024576
2013-04-02,0.955069124423964,1.0586081986024571,1.0586081986024576
2013-04-03,0.9531490015360993,1.0586081986024571,1.0586081986024576
2013-04-08,0.9485407066052237,1.0586081986024571,1.0586081986024576
2013-04-09,0.954301075268818,1.0586081986024571,1.0586081986024576
2013-04-10,0.954301075268818,1.0586081986024571,1.0586081986024576
2013-04-11,0.9500768049155155,1.0586081986024571,1.0586081986024576
2013-04-12,0.9470046082949319,1.0586081986024571,1.0586081986024576
2013-04-15,0.9374039938556077,1.0586081986024571,1.0586081986024576
2013-04-16,0.9431643625192023,1.0586081986024571,1.0586081986024576
2013-04-17,0.9454685099846403,1.0586081986024571,1.0586081986024576
2013-04-18,0.9473886328725051,1.0586081986024571,1.0586081986024576
2013-04-19,0.9742703533026127,1.0586081986024571,1.0586081986024576
2013-04-22,0.9711981566820289,1.0586081986024571,1.0586081986024576
2013-04-23,0.9416282642089107,1.0586081986024571,1.0586081986024576
2013-04-24,0.9577572964669752,1.0586081986024571,1.0586081986024576
2013-04-25,0.947772657450078,1.0586081986024571,1.0586081986024576
2013-04-26,0.9389400921658998,1.0586081986024571,1.0586081986024576
2013-05-02,0.9397081413210457,1.0586081986024571,1.0586081986024576
2013-05-03,0.9566052227342563,1.0586081986024571,1.0586081986024576
2013-05-06,0.9677419354838726,1.0586081986024571,1.0586081986024576
2013-05-07,0.9700460829493104,1.0586081986024571,1.0586081986024576
2013-05-08,0.9761904761904779,1.0586081986024571,1.0586081986024576
2013-05-09,0.9711981566820294,1.0586081986024571,1.0586081986024576
2013-05-10,0.9750384024577592,1.0586081986024571,1.0586081986024576
2013-05-13,0.9711981566820295,1.0586081986024571,1.0586081986024576
