date,nav,strategy_return,current_momentum,signal,holding,exposure,target_exposure,trade_cost_rate,turnover,drawdown
2023-04-04,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0
2023-04-06,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0
2023-04-07,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0
2023-04-10,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0
2023-04-11,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0
2023-04-12,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0
2023-04-13,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0
2023-04-14,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0
2023-04-17,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0
2023-04-18,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0
2023-04-19,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0
2023-04-20,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0
2023-04-21,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0
2023-04-24,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0
2023-04-25,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0
2023-04-26,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0
2023-04-27,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0
2023-04-28,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0
2023-05-04,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0
2023-05-05,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0
2023-05-08,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0
2023-05-09,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0
2023-05-10,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0
2023-05-11,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0
2023-05-12,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0
2023-05-15,1.0,0.0,0.040186915887850505,512890,,0.0,0.8,0.0,0.0,0.0
2023-05-16,0.9895935766423358,-0.010406423357664174,0.06178707224334601,513880,512890,0.8,1.0,0.0004,0.8,-0.010406423357664174
2023-05-17,1.0002097806073358,0.010727842435093837,0.07414448669201512,513880,513880,1.0,1.0,0.0009000000000000001,1.8,0.0
