date,action,code,theme,name,from_exposure,to_exposure,nav
2012-10-18,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,0.9995
2012-10-19,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,0.99900025
2012-12-14,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,0.998500749875
2012-12-24,REDUCE,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.5,0.9918329652347664
2013-01-16,ADD,510300,沪深300,沪深300ETF华泰柏瑞,0.5,0.7089552238805972,1.0722631174575858
2013-01-17,ADD,510300,沪深300,沪深300ETF华泰柏瑞,0.7089552238805972,0.9259259259259257,1.0655953328173522
2013-01-18,REDUCE,510300,沪深300,沪深300ETF华泰柏瑞,0.9259259259259257,0.6985294117647054,1.0814313213379072
2013-01-23,ADD,510300,沪深300,沪深300ETF华泰柏瑞,0.6985294117647054,1.0,1.0855986867380532
2013-01-29,REDUCE,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.9440559440559438,1.111019615678944
2013-01-31,REDUCE,510300,沪深300,沪深300ETF华泰柏瑞,0.9440559440559438,0.8620689655172409,1.1201878195592656
2013-02-01,ADD,510300,沪深300,沪深300ETF华泰柏瑞,0.8620689655172409,1.0,1.1418581196400253
2013-02-05,REDUCE,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.8445945945945943,1.1522765331403904
2013-02-06,ADD,510300,沪深300,沪深300ETF华泰柏瑞,0.8445945945945943,1.0,1.1556104254605073
2013-02-21,REDUCE,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.27,1.0831195210615068
2013-02-26,SELL,510300,沪深300,沪深300ETF华泰柏瑞,0.27,0.0,1.0782460728183052
2013-02-27,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,0.27,1.0781005095984748
2013-03-13,SELL,510300,沪深300,沪深300ETF华泰柏瑞,0.27,0.0,1.0716486828369836
2013-03-20,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,0.27,1.0715040102648006
2013-03-29,SELL,510300,沪深300,沪深300ETF华泰柏瑞,0.27,0.0,1.0586081986024571
2013-05-20,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.058078894503156
2013-05-29,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0688778565637722
2013-05-31,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0683434176354905
2013-06-03,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.069858783826724
2013-08-01,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0693238544348107
2013-08-02,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0669288109714616
2013-08-12,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.066395346565976
2013-08-15,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0512491655468437
2013-08-23,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0507235409640705
2013-08-27,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0735658750934882
2013-09-02,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0730290921559416
2013-09-05,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0833768248794282
2013-09-05,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.0833768248794282
2013-09-09,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.083994236321988
2013-09-09,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.083994236321988
2013-09-12,REDUCE,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.8732876712328763,1.1139484222676097
2013-09-13,ADD,510300,沪深300,沪深300ETF华泰柏瑞,0.8732876712328763,1.0,1.1057001681666414
2013-09-17,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0773801784177397
2013-09-17,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.0773801784177397
2013-09-23,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0830321484650995
2013-09-23,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.0830321484650995
2013-09-25,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0653245728376952
2013-09-25,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.0653245728376952
2013-10-08,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0647043402308582
2013-10-08,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.0647043402308582
2013-10-09,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.065021581272282
2013-10-09,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.065021581272282
2013-10-11,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0490758204338408
2013-10-11,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.0490758204338408
2013-10-16,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0290218400666389
2013-10-16,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.0290218400666389
2013-10-21,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.047162867869904
2013-10-21,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.047162867869904
2013-10-22,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.034637118878348
2013-10-22,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.034637118878348
2013-10-23,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.043469498992459
2013-10-29,BUY,518880,黄金ETF,黄金ETF华安,0.0,1.0,1.042947764242963
2013-10-30,SELL,518880,黄金ETF,黄金ETF华安,1.0,0.0,1.0392662258201493
2013-10-31,BUY,518880,黄金ETF,黄金ETF华安,0.0,1.0,1.0387465927072392
2013-11-04,SELL,518880,黄金ETF,黄金ETF华安,1.0,0.0,1.0267046058008913
2013-11-20,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.0262939239585709
2013-11-22,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.0095156508477956
2013-11-28,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.0091118445874565
2013-12-20,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,0.9762925267006328
2014-01-09,BUY,518880,黄金ETF,黄金ETF华安,0.0,1.0,0.9758043804372823
2014-01-10,SELL,518880,黄金ETF,黄金ETF华安,1.0,0.0,0.9817862392967956
2014-01-13,BUY,518880,黄金ETF,黄金ETF华安,0.0,1.0,0.9812953461771472
2014-01-15,SELL,518880,黄金ETF,黄金ETF华安,1.0,0.0,0.9751955213067316
